暫編地號,原地號,所屬街廓,重劃前區段,a 面積(㎡),街廓面積(㎡),正面長度(m),平均深度(m),A 地價比,l₂ 正面尺度,l₁ 側面尺度,街角地,第1筆街角,街角側別,F(m),W(m),Rw(%),S(m),幾何面積(㎡),G(㎡),累積S(m),推進側別,解法,迭代次數,是否收斂,負擔比率,宗地寬度(m),畸零地旗標,驗_A幾何,驗_A_W,驗_A_D,驗_A_命中角,驗_A_理由,驗_B藍影,驗_B_G,驗_B_藍影面積,驗_B_Δ,驗_B_臨正街,驗_B_臨屁股,驗_C面積,驗_C_G,驗_C_e,驗_C_街角範圍面積,驗_C_門檻,驗_C_Δ,驗_總判,驗_rejected,驗_鏈,驗_宗序,驗_不可判輸入
R2-抵費地-2,—,R2,—,0.0,4368.6,100.03,44.47,0.0,0.0,0.0,—,—,—,0.0,0.0,0.0,0.0,308.17,0.0,0.0,抵費地,幾何剩餘,0,🟡,0.0,,,,,,,,,,,,,,,,,,,,,,,,
628(1)+,628,R4,a,3186.36,3207.87,98.89,33.11,1.7364,0.0,1.0,是,是,左側,33.27,68.62,40.06,61.1,2023.34,2023.33,70.5,left,幾何二分法,17,✅,0.365,61.04,,不適用,—,—,—,—,不適用,2023.33,—,—,—,—,合格,2023.33,0.0,226.006436,226.006436,1797.323564,保留,False,left,街角第1宗,—
R4-抵費地-1,—,R4,—,0.0,3207.87,98.89,33.11,0.0,0.0,0.0,—,—,—,0.0,0.0,0.0,0.0,906.32,0.0,0.0,抵費地,幾何剩餘,0,🟡,0.0,,,,,,,,,,,,,,,,,,,,,,,,
R4-抵費地-2,—,R4,—,0.0,3207.87,98.89,33.11,0.0,0.0,0.0,—,—,—,0.0,0.0,0.0,0.0,226.01,0.0,0.0,抵費地,幾何剩餘,0,🟡,0.0,,,,,,,,,,,,,,,,,,,,,,,,
R4-抵費地-3,—,R4,—,0.0,3207.87,98.89,33.11,0.0,0.0,0.0,—,—,—,0.0,0.0,0.0,0.0,26.11,0.0,0.0,抵費地,幾何剩餘,0,⚠️ < 最小分配,0.0,,,,,,,,,,,,,,,,,,,,,,,,
R4-抵費地-4,—,R4,—,0.0,3207.87,98.89,33.11,0.0,0.0,0.0,—,—,—,0.0,0.0,0.0,0.0,26.08,0.0,0.0,抵費地,幾何剩餘,0,⚠️ < 最小分配,0.0,,,,,,,,,,,,,,,,,,,,,,,,
628(2)+,628,R6,a,238.9,3976.3,85.85,45.51,1.5628,2.0,0.0,否,否,—,0.0,0.0,0.0,3.23,153.18,153.19,3.23,left,幾何二分法,17,✅,0.3588,3.22,⚠️移出/第1調配順位,不合格,3.5,14.0,,掃 364 個角度皆不可容納,不適用,153.19,—,—,—,—,不適用,153.19,0.0,—,—,—,剔除,True,left,其後,—
628-4(1),628-4,R6,b,1154.0,3976.3,85.85,45.51,1.8386,2.0,0.0,否,否,—,0.0,0.0,0.0,14.73,692.09,692.09,17.96,left,幾何二分法,17,✅,0.4003,14.68,,合格,3.5,14.0,0.0,容納（命中角度 0.000000°）,不適用,692.09,—,—,—,—,不適用,692.09,0.0,—,—,—,保留,False,left,第2宗,—
628-23(1)+,628-23,R6,b,723.48,3976.3,85.85,45.51,1.8386,2.0,0.0,否,否,—,0.0,0.0,0.0,9.35,433.68,433.68,27.3,left,幾何二分法,15,✅,0.4006,9.32,,合格,3.5,14.0,22.0,容納（命中角度 22.000000°）,不適用,433.68,—,—,—,—,不適用,433.68,0.0,—,—,—,保留,False,left,其後,—
628-18(1),628-18,R6,b,551.09,3976.3,85.85,45.51,1.8386,2.0,1.0,是,是,右側,43.38,7.2,56.77,7.22,307.79,307.78,7.22,right,幾何二分法,17,✅,0.4415,7.2,,不適用,—,—,—,—,不適用,307.78,—,—,—,—,合格,307.78,0.0,299.134509,299.134509,8.645491,保留,False,right,街角第1宗,—
628-53(1),628-53,R6,b,0.44,3976.3,85.85,45.51,1.8386,2.0,1.0,否,否,—,43.38,7.2,0.02,0.01,0.26,0.26,7.23,right,幾何二分法,17,✅,0.4091,0.01,⚠️移出/第1調配順位,不合格,3.5,14.0,,面積 < W×D（必要條件不成立）,合格,0.26,4.5e-05,0.259955,0.00787,0.007858,不適用,0.26,0.0,299.134509,—,—,剔除,True,right,第2宗,—
628-38(1),628-38,R6,b,205.6,3976.3,85.85,45.51,1.8386,2.0,1.0,否,否,—,43.38,9.89,13.8,2.7,117.73,117.73,9.92,right,幾何二分法,17,✅,0.4274,2.69,⚠️移出/第1調配順位,不合格,3.5,14.0,,掃 364 個角度皆不可容納,不適用,117.73,—,—,—,—,不適用,117.73,0.0,299.134509,—,—,剔除,True,right,其後,—
628-7(1),628-7,R6,b,522.97,3976.3,85.85,45.51,1.8386,2.0,1.0,否,否,—,43.38,16.77,26.13,6.9,302.94,302.93,16.82,right,幾何二分法,15,✅,0.4208,6.88,,合格,3.5,14.0,33.5,容納（命中角度 33.500000°）,不適用,302.93,—,—,—,—,不適用,302.93,0.0,299.134509,—,—,保留,False,right,其後,—
